id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
391,Yolo,3216.0,59.0,10,0,2020-10-27T00:00:00
392,Shasta,1962.0,31.0,73,1,2020-10-27T00:00:00
393,Santa Cruz,2815.0,25.0,7,0,2020-10-27T00:00:00
394,Lassen,764.0,1.0,0,0,2020-10-27T00:00:00
395,Riverside,66699.0,1303.0,224,8,2020-10-27T00:00:00
396,Monterey,11261.0,91.0,54,1,2020-10-27T00:00:00
397,San Luis Obispo,4148.0,32.0,15,0,2020-10-27T00:00:00
398,Mariposa,78.0,2.0,1,0,2020-10-27T00:00:00
399,Nevada,622.0,8.0,4,0,2020-10-27T00:00:00
400,Unassigned,2.0,0.0,-1,0,2020-10-27T00:00:00
401,Trinity,28.0,0.0,2,0,2020-10-27T00:00:00
402,Ventura,14347.0,165.0,17,0,2020-10-27T00:00:00
403,Mendocino,1033.0,21.0,7,0,2020-10-27T00:00:00
404,Lake,700.0,16.0,3,0,2020-10-27T00:00:00
405,Solano,7298.0,76.0,27,0,2020-10-27T00:00:00
406,Madera,4942.0,74.0,20,0,2020-10-27T00:00:00
407,Santa Barbara,9874.0,126.0,47,4,2020-10-27T00:00:00
408,Yuba,1235.0,10.0,9,0,2020-10-27T00:00:00
409,El Dorado,1351.0,4.0,15,0,2020-10-27T00:00:00
410,San Benito,1428.0,15.0,4,0,2020-10-27T00:00:00
411,Sacramento,25701.0,496.0,146,5,2020-10-27T00:00:00
412,Tehama,913.0,9.0,21,1,2020-10-27T00:00:00
413,Kern,33328.0,420.0,95,4,2020-10-27T00:00:00
